"persoonuuid";"naam";"wikidata"
"b2846eee-2746-11e3-a2bf-3cd92befe4f8";"Mulder, Han";"http://www.wikidata.org/entity/Q56951928"
"b2901956-2746-11e3-ba12-3cd92befe4f8";"Loon, Barbara van";"http://www.wikidata.org/entity/Q56438563"
"b28c378c-2746-11e3-9979-3cd92befe4f8";"Klap, J.";"http://www.wikidata.org/entity/Q56231245"
"b28e83de-2746-11e3-9f26-3cd92befe4f8";"Boudaan, P.";"http://www.wikidata.org/entity/Q56229875"
"b28bd0ee-2746-11e3-a5d2-3cd92befe4f8";"Campert, J.";"http://www.wikidata.org/entity/Q560622"
"b28e1d22-2746-11e3-9053-3cd92befe4f8";"Bocholt van Leyden, Jan";"http://www.wikidata.org/entity/Q560443"
"b28ca8e8-2746-11e3-8418-3cd92befe4f8";"Dercksen, J.M.E.";"http://www.wikidata.org/entity/Q56024253"
"b288822c-2746-11e3-91aa-3cd92befe4f8";"Nahuys, P.";"http://www.wikidata.org/entity/Q56006893"
"b28cc576-2746-11e3-a806-3cd92befe4f8";"Rembrandt";"http://www.wikidata.org/entity/Q5598"
"b28e883e-2746-11e3-b838-3cd92befe4f8";"Serrurier, Daniel";"http://www.wikidata.org/entity/Q55902356"
"b2868fd0-2746-11e3-8f0a-3cd92befe4f8";"Myle, Cornelius van der";"http://www.wikidata.org/entity/Q55857482"
"b28df248-2746-11e3-9847-3cd92befe4f8";"Myle, Cornelis van der";"http://www.wikidata.org/entity/Q55857482"
"b289e1da-2746-11e3-83ae-3cd92befe4f8";"Beets, A.";"http://www.wikidata.org/entity/Q5568715"
"b2881f8a-2746-11e3-9901-3cd92befe4f8";"Sopper, Prof. Dr. A. J.";"http://www.wikidata.org/entity/Q55682753"
"b28b2248-2746-11e3-b8ad-3cd92befe4f8";"Godfried, graaf van Neder-Lotharingen";"http://www.wikidata.org/entity/Q552234"
"b28b6ee2-2746-11e3-9aca-3cd92befe4f8";"Thoms, Fredericus de";"http://www.wikidata.org/entity/Q5497009"
"b288e186-2746-11e3-b516-3cd92befe4f8";"Pottum, Willem";"http://www.wikidata.org/entity/Q54833604"
"b2866096-2746-11e3-9577-3cd92befe4f8";"Beck, Pia";"http://www.wikidata.org/entity/Q540948"
"b28cd4ee-2746-11e3-8d17-3cd92befe4f8";"Pluygers, W.G.";"http://www.wikidata.org/entity/Q5320263"
"b282696e-2746-11e3-9b37-3cd92befe4f8";"Valdez, Francisco";"http://www.wikidata.org/entity/Q5296947"
"b28f8c16-2746-11e3-ab09-3cd92befe4f8";"Fremery, James de";"http://www.wikidata.org/entity/Q52155001"
"b28f609c-2746-11e3-95a3-3cd92befe4f8";"Witte, Petrus de";"http://www.wikidata.org/entity/Q52154066"
"b28cbdb0-2746-11e3-9cb3-3cd92befe4f8";"Orlers, Jan Jansz";"http://www.wikidata.org/entity/Q51934258"
"b28f2244-2746-11e3-8c2a-3cd92befe4f8";"Swinden, Jean, Henri van";"http://www.wikidata.org/entity/Q513159"
"b2857dfc-2746-11e3-97fc-3cd92befe4f8";"Heinsius, A.";"http://www.wikidata.org/entity/Q510116"
"b2903472-2746-11e3-b5ea-3cd92befe4f8";"Snellius, R.";"http://www.wikidata.org/entity/Q505004"
"b28f6998-2746-11e3-b988-3cd92befe4f8";"Wassenaer, Unico Willem van";"http://www.wikidata.org/entity/Q497638"
